col_name,data_type,comment
parent,"struct<link:string,value:string>",null
made_sla,boolean,null
caused_by,"struct<link:string,value:string>",null
watch_list,string,null
upon_reject,string,null
sys_updated_on,timestamp,null
child_incidents,int,null
origin_table,string,null
hold_reason,int,null
task_effective_number,string,null
approval_history,string,null
number,string,null
resolved_by,"struct<link:string,value:string>",null
sys_updated_by,string,null
opened_by,"struct<link:string,value:string>",null
user_input,string,null
sys_created_on,timestamp,null
sys_domain,string,null
state,int,null
sys_created_by,string,null
route_reason,int,null
knowledge,boolean,null
order,int,null
calendar_stc,int,null
closed_at,timestamp,null
cmdb_ci,"struct<link:string,value:string>",null
delivery_plan,"struct<link:string,value:string>",null
impact,int,null
contract,"struct<link:string,value:string>",null
active,boolean,null
work_notes_list,string,null
business_service,"struct<link:string,value:string>",null
business_impact,string,null
priority,int,null
sys_domain_path,string,null
rfc,"struct<link:string,value:string>",null
time_worked,string,null
rejection_goto,"struct<link:string,value:string>",null
expected_start,timestamp,null
opened_at,timestamp,null
business_duration,string,null
group_list,string,null
work_end,timestamp,null
reopened_time,timestamp,null
resolved_at,timestamp,null
caller_id,"struct<link:string,value:string>",null
approval_set,timestamp,null
subcategory,string,null
wf_activity,"struct<link:string,value:string>",null
work_notes,string,null
universal_request,"struct<link:string,value:string>",null
short_description,string,null
close_code,string,null
correlation_display,string,null
delivery_task,"struct<link:string,value:string>",null
work_start,timestamp,null
assignment_group,"struct<link:string,value:string>",null
business_stc,int,null
additional_assignee_list,string,null
cause,string,null
description,string,null
origin_id,string,null
calendar_duration,string,null
notify,int,null
sys_class_name,string,null
service_offering,"struct<link:string,value:string>",null
close_notes,string,null
closed_by,"struct<link:string,value:string>",null
follow_up,timestamp,null
parent_incident,"struct<link:string,value:string>",null
sys_id,string,null
contact_type,string,null
reopened_by,"struct<link:string,value:string>",null
incident_state,int,null
urgency,int,null
problem_id,"struct<link:string,value:string>",null
company,"struct<link:string,value:string>",null
reassignment_count,int,null
activity_due,string,null
assigned_to,"struct<link:string,value:string>",null
severity,int,null
variables,string,null
comments,string,null
sla_due,string,null
approval,string,null
comments_and_work_notes,string,null
due_date,timestamp,null
sys_mod_count,int,null
reopen_count,int,null
sys_tags,string,null
escalation,int,null
upon_approval,string,null
correlation_id,string,null
location,"struct<link:string,value:string>",null
category,string,null
_databricks_deleted,boolean,null
__START_AT,timestamp,null
__END_AT,timestamp,null
